话题	label	热度	index	在榜日期	在榜时间
许家印被判处无期徒刑	hot	4592796	0	20260821	20260821_00:02:17
高铁 2 人 3 票占座放零食引争议	hot	3618045	1	20260821	20260821_00:02:17
宇树科技大跌	hot	3477708	2	20260821	20260821_00:02:17
Zhihu CLI上线	hot	3420580	3	20260821	20260821_00:02:17
招商蛇口高管涉酒局伤害女性被刑拘	hot	3363451	4	20260821	20260821_00:02:17
《黑神话：钟馗》发布实机演示视频	hot	3332670	5	20260821	20260821_00:02:17
重庆警方通报时代峰峻楼下人员聚集	hot	3113509	6	20260821	20260821_00:02:17
宇树股价跳水带崩机器人板块	hot	2955468	7	20260821	20260821_00:02:17
青岛男子辱骂游客		2548910	8	20260821	20260821_00:02:17
佛山通报「教师招聘笔试后5名进体检」		2535765	9	20260821	20260821_00:02:17
曹云金拿郭德纲砸现挂		2397886	10	20260821	20260821_00:02:17
高市早苗因病遭反噬		2328267	11	20260821	20260821_00:02:17
上海出台楼市新规		2091400	12	20260821	20260821_00:02:17
近四分之一企业缩减校招		1893547	13	20260821	20260821_00:02:17
欢迎来龙餐馆 细节		1860668	14	20260821	20260821_00:02:17
8月19日DeepSeek灰度测试		1840455	15	20260821	20260821_00:02:17
抖音推出「馋猫外卖」虚拟点餐		1792220	16	20260821	20260821_00:02:17
新规禁厨余垃圾直接喂猪		1781066	17	20260821	20260821_00:02:17
警方通报小球迷穿武磊球衣遭围攻		1705611	18	20260821	20260821_00:02:17
女儿拒动用十万压岁钱支付生活费		1697227	19	20260821	20260821_00:02:17
上海地铁涨价听证方案公布		1672699	20	20260821	20260821_00:02:17
九部门联手力挺县域消费		1670032	21	20260821	20260821_00:02:17
DeepSeek 涨价		1538955	22	20260821	20260821_00:02:17
《牛来》票房突破 3000 万		1501536	23	20260821	20260821_00:02:17
胖东来招聘不包含性侵犯罪人员		1501433	24	20260821	20260821_00:02:17
小米Q2财报发布		1472635	25	20260821	20260821_00:02:17
北大教授称灵活就业是一种福利		1453109	26	20260821	20260821_00:02:17
mRNA 个体化疫苗首次击败 K 药		1452645	27	20260821	20260821_00:02:17
DeepSeek 新定价已生效		1403224	28	20260821	20260821_00:02:17
日本对美国制裁赤根智子表态		1396983	29	20260821	20260821_00:02:17
口腔医生漏诊脑出血		1409380	28	20260821	20260821_00:22:03
空枪		1398343	29	20260821	20260821_01:12:05
华为发布行业首款阔直板手机		1372237	29	20260821	20260821_01:51:59
反诈老陈宣布停更7天挣生活费		2424125	11	20260821	20260821_02:22:04
苹果大批新品意外泄露		1370020	29	20260821	20260821_02:52:01
公司设监狱式待岗工位逼员工离职		1363866	29	20260821	20260821_03:22:05
招商蛇口高管涉酒局伤害女性被刑拘		3217836	7	20260821	20260821_04:22:05
胖东来招聘排除性侵人员		1789300	18	20260821	20260821_05:31:43
宇树股价跳水带崩机器人板块		3346084	5	20260821	20260821_06:22:07
调查组通报杭州酒局事件		3147806	7	20260821	20260821_06:42:09
重庆警方通报时代峰峻楼下人员聚集		3269410	6	20260821	20260821_07:02:18
《黑神话：钟馗》发布实机演示视频		3341085	4	20260821	20260821_07:42:03
青岛男子辱骂女游客		1419461	29	20260821	20260821_08:42:09
许家印满头白发出庭		1433698	29	20260821	20260821_09:22:03
日本民众排队5小时买中国相机		1841527	18	20260821	20260821_09:41:53
许家印崩了东北富二代42亿		1383702	29	20260821	20260821_10:22:18
美军航母士兵崩溃跳海		1372789	29	20260821	20260821_11:22:05
外交部改称靖国神社为战犯神社		1675647	23	20260821	20260821_11:51:45
澳要求终止与中国高校合作		1349674	29	20260821	20260821_11:51:45
恒大地产集团破产清算	new	3639979	2	20260821	20260821_12:22:01
苹果大批新品意外泄露	hot	2013083	16	20260821	20260821_12:22:01
泡泡玛特上半年业绩低于预期	hot	4162659	1	20260821	20260821_12:32:11
台风「美莎克」致广西 159 人遇难	new	3647794	5	20260821	20260821_12:52:13
法院驳回 LV 全部诉求	new	3564809	7	20260821	20260821_14:02:15
胖东来招聘排除性侵人员	hot	2190532	17	20260821	20260821_15:52:09
升学宴事故被截肢伤者仅十几岁	hot	2399983	13	20260821	20260821_16:52:03
失业男子饿 20 天致肾衰竭		1626290	29	20260821	20260821_17:12:08
拆解输入的张雪机车遭台当局查扣		1495217	28	20260821	20260821_17:22:09
Selina胖了好多		1461291	29	20260821	20260821_17:22:09
宇树科技上市王兴兴不高兴		1603069	26	20260821	20260821_18:12:00
蒙不法分子擅闯中资营地侮辱中方员工		1507773	28	20260821	20260821_18:12:00
学籍案弟弟称从小把妈妈当小姨看		1416962	29	20260821	20260821_18:12:00
恒大地产集团破产清算	hot	2584858	11	20260821	20260821_18:21:53
许家印两个儿子也判了		2042405	19	20260821	20260821_18:21:53
宇树总市值已跌超1500亿		1683000	27	20260821	20260821_18:21:53
台风「美莎克」致广西 159 人遇难	hot	2491170	12	20260821	20260821_18:52:04
